Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Malfa,83043,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,633,430,394
Malfa,83043,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,241,193,188
Malvagna,83044,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,380,297,289
Malvagna,83044,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,229,200,193
Mandanici,83045,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,293,194,182
Mandanici,83045,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,218,178,172
Mazzarrà Sant'Andrea,83046,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,819,547,500
Mazzarrà Sant'Andrea,83046,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,457,369,362
Merì,83047,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1500,972,873
Merì,83047,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,542,451,424
Messina,83048,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,137268,87902,80630
Messina,83048,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,66617,53387,51461
Milazzo,83049,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,18140,12616,11564
Milazzo,83049,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,9085,7396,7179
Militello Rosmarino,83050,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,694,517,471
Militello Rosmarino,83050,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,427,368,343
Mirto,83051,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,523,422,402
Mirto,83051,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,317,292,291
Mistretta,83052,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2694,2308,2193
Mistretta,83052,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1429,1295,1273
Moio Alcantara,83053,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,401,307,288
Moio Alcantara,83053,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,228,203,199
Monforte San Giorgio,83054,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1523,974,906
Monforte San Giorgio,83054,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,848,674,654
Mongiuffi Melia,83055,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,325,241,231
Mongiuffi Melia,83055,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,188,152,150
Montagnareale,83056,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,864,576,536
Montagnareale,83056,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,460,366,352
Montalbano Elicona,83057,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1152,731,643
Montalbano Elicona,83057,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,763,660,638
Motta Camastra,83058,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,435,319,298
Motta Camastra,83058,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,283,222,215
Motta d'Affermo,83059,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,364,280,267
Motta d'Affermo,83059,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,269,253,247
Naso,83060,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2032,1409,1300
Naso,83060,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1258,1085,1055
Nizza di Sicilia,83061,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2190,1289,1137
Nizza di Sicilia,83061,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1045,808,774
Novara di Sicilia,83062,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,640,436,403
Novara di Sicilia,83062,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,480,359,343
Oliveri,83063,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1168,770,686
Oliveri,83063,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,720,603,577
Pace del Mela,83064,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3864,2356,2154
Pace del Mela,83064,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1635,1274,1224
Pagliara,83065,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,668,390,343
Pagliara,83065,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,342,267,263
Patti,83066,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7770,5499,5040
Patti,83066,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3829,3181,3066
Pettineo,83067,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,752,570,544
Pettineo,83067,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,409,342,329
Piraino,83068,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2354,1824,1740
Piraino,83068,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1104,992,970
Raccuja,83069,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,516,429,411
Raccuja,83069,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,333,290,284
Reitano,83070,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,396,312,292
Reitano,83070,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,262,228,221
Roccafiorita,83071,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,112,123,121
Roccafiorita,83071,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,60,67,67
Roccalumera,83072,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2359,1460,1331
Roccalumera,83072,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1248,1070,1038
Roccavaldina,83073,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,603,406,369
Roccavaldina,83073,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,328,278,267
Roccella Valdemone,83074,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,329,247,223
Roccella Valdemone,83074,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,212,201,196
Rodì Milici,83075,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1180,825,780
Rodì Milici,83075,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,632,536,513
Rometta,83076,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3972,2434,2251
Rometta,83076,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1874,1469,1417
San Filippo del Mela,83077,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4219,2546,2348
San Filippo del Mela,83077,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1828,1423,1364
San Fratello,83078,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2090,1519,1424
San Fratello,83078,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1015,829,792
San Marco d'Alunzio,83079,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1103,959,924
San Marco d'Alunzio,83079,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,562,568,552
San Pier Niceto,83080,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1521,1252,1071
San Pier Niceto,83080,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,907,852,809
